Date,Time,Direction,Number,Type,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure
2022.05.24,17:19:41,Direction 13,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:19:43,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:19:47,Direction 13,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:19:52,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:19:54,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:20:23,Direction 5,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:20:27,Direction 6,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:20:33,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:20:36,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:20:39,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:20:40,Direction 6,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:20:43,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:20:44,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:20:45,Direction 13,4,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:20:47,Direction 13,1,Bike,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:20:47,Direction 13,5,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:20:49,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:20:53,Direction 1,1,Tram,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:20:58,Direction 13,3,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:20:59,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:21:01,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:21:13,Direction 3,1,Bus,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:21:34,Direction 6,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:21:37,Direction 6,2,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:21:42,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:21:44,Direction 13,6,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:21:46,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:21:50,Direction 14,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
2022.05.24,17:21:55,Direction 6,1,Normal,61 °F,48 °F,63 %,WSW,15 mph,0 mph,29.71 in
